@RELATION tabela20141

@ATTRIBUTE id_discente {0188fee9f69676d5d450513676ffa20f,04180c1a85cc118e095e6e996876488a,071a8892a24c1a384085631e74f9af76,073dc96afed003942587f667a8dd97f2,08f0ed62082e3a3455c675630a546cfe,098328a35e4c60b120e4bb6b94c8a0f6,0b94a8805eba989f442796ed60e1899b,0c4312afd7654b4572f06d1f4e90b884,0e38c468da1fafa776434dd187a12149,1179d754b82d53625a0c2e600a3db916,16bcf9f32c941fa63a6b0ae2cb03fdcf,1b723ea570ff87651bed3b7039f4db06,1d2f167f656cf52c63c1369ca68340db,212bde07a1ba6bc28727ceb5d9663bbb,25d2bd21cd76c59793f8a006c03cf6b9,26f01fd04f5b620248135bd79c00ab4d,29842efca9aab36a080af357242530e1,2bebbda0ca273a4be74009d7699de55f,2ce029b6fd0871dc31c569e6eaf6a278,2f5560ff10781f6252954308b37465b6,2f88ff7e6e0e58cb307f6e6c4dbd80e3,34be9dafa8f8df179eafa0bbfac14c4b,39581a7437ad60212be441807dfeab19,3ddb9c081afb4b8812c882120a42f807,3fd258305978d55024b9066e75a89ed4,40846f2f09da1435f6eb303ce9d0d768,430325976024d5d1ef77afdcfaab016a,4402f41efd8b2de8bd404bf6cdce34ef,45297f9972a868e60425c12ae4f3f143,46665a614e41672cc0e7ab15d2acacf1,469b4e52f0fc039742f0d6f50587fd02,46fcfa469134e1d7294e54ec241ce9b2,47f433897cb69ee2468df16dedaa44f3,480a730ca3e8657e4d203f06d6baaae1,4bc11904bc4637fce87f851c094c3f59,4ca2aab5bc166799ef07328772683e6d,511d0df6f55de7f9c4818636b1535e02,515f232c90b19e1014be58aeb8b56266,517173d2b2728397195b225f6f7d74bc,520429428d98dac9b5c94168677d77bd,5299d4aa1beb39ddaba0ff9427a90e26,52a3502de65d64546ec195cf3a52efdd,53890acbe28162acd131b308656482fc,55f5a9ca42b3b65701d611e5d965101c,570cb04eb23871dd7b2eae6244b79378,5a5d94d46b85d1bec85b6a0b0a0b826b,5dac5cab88de4928bbc3095150f768ff,5eb88ee80e43d756f1b6c46c3452de52,617302e28daaf9ab54aaae256040ba3f,63e97bc77196994b439cb853cea9d42d,64643cedb489d1f1c79849ae3d5b4835,64b696da3707557afa8dfcef34977c6f,67a7d8d14b772580587d3409b1d352e7,69d022c2924a232b8a0ca9e0ac7da317,739c7ac76005b144cc9b72cbe44a0e32,75620b7e204996b5c72808779b59df88,76a56ad613bcbefabd97dea0dc2d3aa9,777afa50a3eae76c110581407b1e3129,7a1b1853a420d06922811b998fb6264f,7fe258d773987637116d18bf9ee966d6,81b3bf9f2b3b99b358a853e77c69d338,8336cceaf3e6275f4bd0611280702f1e,851fe8913fe7e4e3bb131ee4a393bcb6,8686cb9f0defc9fec6c7bf5fed40bda4,876c9810d6f4b25797d73c942f55764e,8adfd36bd28efb815197f6837af8b2b9,8b9b8a3673f94cd54ae88918b936a557,8cf52a04b4b12e332f8a54264a52ba53,935575d8369467656832d455e86b8290,9b03275cfc98def4ebace9f3a04bdc7c,9f2893d97c3dc2cf63f5501959e73bed,a02054a40cd0a158427d19da36fb4c42,a03bcf3b5737f3b0a9c872e14bdf0d45,a0a89fb407d12afefeb585fbd0232e80,a16ed96ee765c2ec436358814f6bc646,a2b5339caf4ea54ef4c904f25feb89ef,a3cf3edfcf45eacfd14182a3ca1a6a64,a6828dd2dd4b8ff21c763f6d1f6f5e04,a70e6e000686d82ad1d1a29ce75fab9f,a9d5358e13241d1fc953196fa2983412,ad5131af1ce9f4f9b019b81117bb843c,adbe26ddc8bc24ae4ea69b38868715eb,af411d3564d0980b1ceb2c8b60e808a2,b06b391213ef9e3897598dec729ae710,b0e148daf401068c1b47be520d5bb181,b419813a078aae20633c5585127ede87,ba5fefd9bd218063b6484ba2916d3bf0,bb08f985540d1d45c21123066e5203e3,bc2bc7b8d6d7550aeaf952fd146e716e,beac1f49210679beb9b26a1636ed3ff3,c1eb33600b39680017365449468fab9f,c2ab40ac39c8b410e0d4d1daad44b3c9,c64950466f754a7a5656d1968f33c8fc,c6e6b75a1e8fb3912dc281802313a782,c8e90e0cc4925263eb9216005d5cc5d5,cb5af6571a4fea0ecf8163f351e66725,cb75f724561edc0a0a2be38dfe95322c,cc5a82144563d5e8cdab8202a1346345,cdd880f91102e2225425f0f997f824ea,d0bd6488461f69112553e12fd0b6e5e1,d2ebea0c1ebded5adcf2e6eb2d919b9a,d7a45e0307b8dd09655b28676d9bdb53,da437177e090ab90ea33ba772cfbae03,dc71ff037f1e98823ef208155af16c47,dcb8f294bee8769bdfec88486911362f,dfc0b8035c1c5931710e65e92d91aa30,e4dcda7fa43cfcaa58044c501b34f030,e75d4fcd5a6fd3e42374707f8d3b5c74,e8276e72614c5828286b43d50704d1a0,ec63873c3581433d75701a854ead2a46,ed6dd81dc57277659b753343bbeddbd1,ee67c654a285629b1e24292c717dc9e5,f23e5fa8c16da3a0b77a4ed738182750,f250d74dc7561f1f4f5e39242df98be1,f32c342b30e30053a2624f5d981385d1,f3fa8c8c4e04024c11e22b1b0ac58fb1,f47ace7fbb22012f488f24b9a2593db9,f59c7673d9a33ed201ee68798b80304d,fdc2d349ed3b784c6d59b955a91c75f8}
@ATTRIBUTE sexo {F,M}
@ATTRIBUTE data_nascimento {01_03_1996,01_04_1996,01_06_1995,01_08_1995,01_10_1994,02_04_1995,02_06_1993,02_06_1995,02_09_1990,03_07_1993,03_10_1995,03_12_1985,04_03_1993,04_05_1993,04_08_1990,05_01_1995,05_03_1994,05_08_1995,05_12_1994,06_01_1995,06_06_1994,07_02_1992,07_04_1995,07_06_1993,07_07_1992,07_08_1990,08_05_1995,08_08_1991,08_11_1994,09_05_1996,09_08_1991,09_08_1992,09_10_1995,10_03_1995,10_07_1994,10_09_1994,10_12_1993,12_09_1994,12_11_1985,12_12_1990,13_07_1992,13_07_1996,13_12_1994,14_03_1995,14_04_1993,14_04_1994,14_09_1995,14_10_1994,15_03_1995,15_05_1991,15_07_1991,15_07_1995,15_12_1986,15_12_1994,16_05_1995,16_07_1992,16_09_1992,16_10_1995,17_02_1996,17_03_1986,17_06_1989,17_06_1994,17_09_1995,18_02_1994,18_04_1995,18_04_1996,18_10_1995,18_12_1995,19_03_1995,19_04_1993,19_05_1996,20_03_1994,20_04_1995,20_09_1996,20_12_1969,21_01_1995,21_04_1994,22_01_1993,22_01_1994,22_02_1990,22_05_1991,22_05_1995,22_08_1993,23_02_1986,23_02_1996,23_03_1994,23_03_1996,24_03_1993,24_05_1995,24_07_1992,26_03_1993,26_04_1992,26_08_1987,26_11_1980,27_01_1995,27_04_1993,27_04_1995,27_07_1991,27_08_1992,28_01_1994,28_04_1991,28_10_1989,29_04_1993,29_04_1996,30_03_1988,30_03_1995,30_05_1995,30_07_1996,30_10_1990,30_12_1985,31_03_1987,31_03_1992,31_08_1994,31_10_1994}
@ATTRIBUTE raca {BRANCO,NAO_INFORMADO,NEGRO,PARDO}
@ATTRIBUTE estado_origem {DISTRITO_FEDERAL,MARANHAO,PARA,PERNAMBUCO,RIO_DE_JANEIRO,RIO_GRANDE_DO_NORTE,RIO_GRANDE_DO_SUL,RORAIMA,SAO_PAULO}
@ATTRIBUTE cidade_origem {ACARI,AFOGADOS_DA_INGAZEIRA,ASSU,BELEM,BOA_VISTA,BRASILIA,CAICO,CAMPOS_DOS_GOYTACAZES,CEARA___MIRIM,CURRAIS_NOVOS,JOAO_CAMARA,MACAU,NAO_INFORMADO,NATAL,OSASCO,OURO_BRANCO,PARNAMIRIM,PAU_DOS_FERROS,PORTO_ALEGRE,RECIFE,RIO_DE_JANEIRO,SANTA_CRUZ,SANTO_ANTONIO,SAO_BERNARDO_DO_CAMPO,SAO_LUIS,SAO_PAULO,TOUROS}
@ATTRIBUTE estado {NAO_INFORMADO,PERNAMBUCO,RIO_GRANDE_DO_NORTE,SAO_PAULO}
@ATTRIBUTE municipio {CAICO,CARAPICUIBA,CARNAUBA_DOS_DANTAS,CEARA_MIRIM,CEARA___MIRIM,CURRAIS_NOVOS,DOUTOR_SEVERIANO,MACAIBA,NAO_INFORMADO,NATAL,NOVA_CRUZ,OURO_BRANCO,PARNAMIRIM,PAU_DOS_FERROS,PEDRA_PRETA,PEDRO_VELHO,RECIFE,RIACHUELO,SANTA_CRUZ,SANTO_ANTONIO,SAO_BENTO_DO_NORTE,SAO_GONCALO_DO_AMARANTE,SAO_JOSE_DE_MIPIBU,SAO_PAULO,SAO_PAULO_DO_POTENGI,SAO_TOME,TANGARA}
@ATTRIBUTE bairro {ALECRIM,AMARANTE,ASSUNCAO,BARRO_VERMELHO,BOA_ESPERANCA,CANDELARIA,CAPIM_MACIO,CENTRO,CIDADE_DA_ESPERANCA,CIDADE_NOVA,COHABINAL,CONJUNTO_AMARANTE,CONJUNTO_IPE,DIX_SEPT_ROSADO,EMAUS,FELIPE_CAMARAO,IGAPO,JARDIM_PLANALTO,LAGOA_AZUL,LAGOA_NOVA,LAGOA_SECA,LOTEAMENTO_VILA_NOVA,MIGUEL_PEREIRA_MAIA,NACOES_UNIDAS,NAO_INFORMADO,NEOPOLIS,NOSSA_SENHORA_DA_APR,NOSSA_SENHORA_DA_APRESENTACAO,NOSSA_SENHORA_DE_NAZARE,NOVA_DESCOBERTA,NOVA_PARNAMIRIM,PAJUCARA,PARQUE_DOURADO,PARQUE_DO_JIQUI,PASSAGEM_DE_AREIA,PITIMBU,PLANALTO,PONTA_NEGRA,POTENGI,QUINTAS,REDINHA,SAO_SEBASTIAO,TIROL,VIDA_NOVA,VILA_JARAGUA,VILA_SANTA_LUCIA,ZONA_RURAL}
@ATTRIBUTE nivel_ensino {GRADUACAO}
@ATTRIBUTE forma_ingresso {JUDICIAL,REOCUPACAO_DE_VAGAS_RESIDUAIS,SISU,VESTIBULAR}
@ATTRIBUTE ano_ingresso REAL
@ATTRIBUTE periodo_ingresso REAL
@ATTRIBUTE cotista {F,T}
@ATTRIBUTE id_turma REAL
@ATTRIBUTE id_curso REAL
@ATTRIBUTE unidade REAL
@ATTRIBUTE nota REAL
@ATTRIBUTE reposicao {T,0,F}
@ATTRIBUTE media_final REAL
@ATTRIBUTE numero_total_faltas REAL
@ATTRIBUTE descricao {APROVADO,APROVADO_POR_NOTA,CUMPRIU,DESISTENCIA,REPROVADO,REPROVADO_POR_MEDIA_E_POR_FALTAS,TRANCADO}
@ATTRIBUTE ano REAL
@ATTRIBUTE periodo REAL
@ATTRIBUTE renda REAL
@ATTRIBUTE escola_ens_medio {EM_ESCOLA_PARTICULAR_COM_BOLSA_,PARTE_EM_ESCOLA_PUBLICA_PARTE_EM_ESCOLA_PARTICULAR_,TODO_EM_ESCOLA_PARTICULAR_,TODO_EM_ESCOLA_PUBLICA_}
@ATTRIBUTE possui_bolsa_pesquisa {F,T}
@ATTRIBUTE possui_auxilio_alimentacao {F,T}
@ATTRIBUTE possui_auxilio_transporte {F,T}
@ATTRIBUTE possui_auxilio_residencia_moradia {F,T}
@ATTRIBUTE faixa_salarial {ATE_1000_REAIS,MAIOR_QUE_1000_ATE_2000,MAIOR_QUE_2000_ATE_3000,MAIOR_QUE_3000_ATE_4000,MAIOR_QUE_4000}

@DATA
64643cedb489d1f1c79849ae3d5b4835,M,22_01_1993,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,PARNAMIRIM,NOVA_PARNAMIRIM,GRADUACAO,SISU,2014,1.0,T,1217922,92127264.0,1.0,7.0,F,8.0,4.0,APROVADO,2014,1,1139.0,TODO_EM_ESCOLA_PUBLICA_,F,T,F,F,MAIOR_QUE_1000_ATE_2000
5299d4aa1beb39ddaba0ff9427a90e26,M,07_02_1992,PARDO,RIO_GRANDE_DO_NORTE,CEARA___MIRIM,RIO_GRANDE_DO_NORTE,CEARA___MIRIM,CENTRO,GRADUACAO,SISU,2014,1.0,F,1217955,92127264.0,1.0,8.1,F,6.7,10.0,APROVADO_POR_NOTA,2014,1,7000.0,TODO_EM_ESCOLA_PARTICULAR_,F,F,F,F,MAIOR_QUE_4000
617302e28daaf9ab54aaae256040ba3f,M,27_04_1993,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,NEOPOLIS,GRADUACAO,SISU,2014,1.0,F,1217921,92127264.0,1.0,5.8,F,6.6,8.0,APROVADO_POR_NOTA,2014,1,5000.0,TODO_EM_ESCOLA_PARTICULAR_,F,F,F,F,MAIOR_QUE_4000
64b696da3707557afa8dfcef34977c6f,M,14_04_1994,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,FELIPE_CAMARAO,GRADUACAO,SISU,2014,1.0,T,1217921,92127264.0,1.0,5.9,F,5.0,6.0,APROVADO,2014,1,1001.0,TODO_EM_ESCOLA_PUBLICA_,F,F,F,F,MAIOR_QUE_1000_ATE_2000
a02054a40cd0a158427d19da36fb4c42,M,01_04_1996,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,REDINHA,GRADUACAO,SISU,2014,1.0,T,1217921,92127264.0,1.0,4.4,F,5.1,6.0,APROVADO_POR_NOTA,2014,1,880.0,TODO_EM_ESCOLA_PUBLICA_,F,F,F,F,ATE_1000_REAIS
45297f9972a868e60425c12ae4f3f143,M,31_08_1994,BRANCO,RIO_GRANDE_DO_SUL,PORTO_ALEGRE,RIO_GRANDE_DO_NORTE,NATAL,PONTA_NEGRA,GRADUACAO,JUDICIAL,2014,1.0,F,1217949,92127264.0,1.0,3.3,F,1.1,38.0,REPROVADO_POR_MEDIA_E_POR_FALTAS,2014,1,5000.0,PARTE_EM_ESCOLA_PUBLICA_PARTE_EM_ESCOLA_PARTICULAR_,F,T,F,F,MAIOR_QUE_4000
739c7ac76005b144cc9b72cbe44a0e32,M,20_03_1994,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PITIMBU,GRADUACAO,SISU,2014,1.0,T,1217921,92127264.0,1.0,5.4,F,5.6,8.0,APROVADO,2014,1,3800.0,TODO_EM_ESCOLA_PUBLICA_,F,F,F,F,MAIOR_QUE_3000_ATE_4000
ad5131af1ce9f4f9b019b81117bb843c,M,30_03_1995,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,NOVA_PARNAMIRIM,GRADUACAO,SISU,2014,1.0,T,1217921,92127264.0,1.0,8.1,F,8.5,8.0,APROVADO,2014,1,1600.0,TODO_EM_ESCOLA_PUBLICA_,F,F,F,F,MAIOR_QUE_1000_ATE_2000
26f01fd04f5b620248135bd79c00ab4d,M,05_03_1994,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,TIROL,GRADUACAO,SISU,2014,1.0,F,1217921,92127264.0,1.0,6.7,F,4.7,12.0,REPROVADO_POR_MEDIA_E_POR_FALTAS,2014,1,5200.0,TODO_EM_ESCOLA_PARTICULAR_,F,F,F,F,MAIOR_QUE_4000
46fcfa469134e1d7294e54ec241ce9b2,M,19_03_1995,PARDO,RIO_GRANDE_DO_NORTE,MACAU,RIO_GRANDE_DO_NORTE,PEDRA_PRETA,CENTRO,GRADUACAO,SISU,2014,1.0,F,1217921,92127264.0,1.0,7.0,F,5.4,8.0,APROVADO_POR_NOTA,2014,1,2200.0,TODO_EM_ESCOLA_PUBLICA_,F,F,T,F,MAIOR_QUE_2000_ATE_3000
f250d74dc7561f1f4f5e39242df98be1,F,13_07_1996,BRANCO,SAO_PAULO,SAO_BERNARDO_DO_CAMPO,RIO_GRANDE_DO_NORTE,SAO_JOSE_DE_MIPIBU,CENTRO,GRADUACAO,SISU,2014,1.0,F,1217921,92127264.0,1.0,7.5,F,6.5,8.0,APROVADO_POR_NOTA,2014,1,4500.0,TODO_EM_ESCOLA_PARTICULAR_,F,F,F,F,MAIOR_QUE_4000
071a8892a24c1a384085631e74f9af76,M,26_11_1980,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,NEOPOLIS,GRADUACAO,SISU,2014,1.0,T,1217923,92127264.0,1.0,4.1,F,5.6,8.0,APROVADO_POR_NOTA,2014,1,190000.0,TODO_EM_ESCOLA_PUBLICA_,F,F,F,F,MAIOR_QUE_4000
bb08f985540d1d45c21123066e5203e3,M,28_01_1994,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,CIDADE_NOVA,GRADUACAO,SISU,2014,1.0,T,1217923,92127264.0,2.0,5.1,F,5.3,8.0,APROVADO_POR_NOTA,2014,1,1450.0,TODO_EM_ESCOLA_PUBLICA_,F,F,F,F,MAIOR_QUE_1000_ATE_2000
3fd258305978d55024b9066e75a89ed4,M,12_09_1994,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,IGAPO,GRADUACAO,SISU,2014,1.0,F,1217923,92127264.0,1.0,6.2,F,5.5,8.0,APROVADO_POR_NOTA,2014,1,850.0,TODO_EM_ESCOLA_PARTICULAR_,F,F,F,F,ATE_1000_REAIS
2ce029b6fd0871dc31c569e6eaf6a278,F,28_04_1991,BRANCO,RIO_GRANDE_DO_NORTE,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,NEOPOLIS,GRADUACAO,SISU,2014,1.0,F,1217928,92127264.0,1.0,5.1,F,6.3,2.0,APROVADO_POR_NOTA,2014,1,4200.0,TODO_EM_ESCOLA_PARTICULAR_,F,F,F,F,MAIOR_QUE_4000
d7a45e0307b8dd09655b28676d9bdb53,M,19_05_1996,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,CANDELARIA,GRADUACAO,SISU,2014,1.0,F,1217923,92127264.0,1.0,7.1,F,7.7,8.0,APROVADO,2014,1,1500.0,TODO_EM_ESCOLA_PARTICULAR_,F,T,F,F,MAIOR_QUE_1000_ATE_2000
cc5a82144563d5e8cdab8202a1346345,M,23_02_1996,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PONTA_NEGRA,GRADUACAO,SISU,2014,1.0,F,1217923,92127264.0,1.0,4.8,F,4.5,8.0,REPROVADO,2014,1,2500.0,TODO_EM_ESCOLA_PARTICULAR_,F,F,F,F,MAIOR_QUE_2000_ATE_3000
